SPEEDELEC Booster; 35; 10900; false; 13200; green; 1279
E-BIKE Porshe Design; 60; 26500; true; 25000; dark gray; 3479
SPEEDELEC OIO; 30; 18400; false; 10800; golden; 1519
SPEEDELEC Peugeot; 35; 13900; false; 3100; marine; 1355
E-BIKE Xiaomi; 65; 28900; true; 14000; golden; 1535
FOLDING BIKE Intertool; 24; 3; 11500; false; pink; 1579
E-BIKE ION; 60; 28900; false; 31000; emerald; 3099
FOLDING BIKE Cayman; 24; 6; 11600; false; orange; 1315
E-BIKE Felt; 65; 21900; false; 26000; white; 3359
FOLDING BIKE Stern; 14; 24; 9800; true; white; 465
SPEEDELEC Booster; 25; 13500; false; 8900; black; 869
FOLDING BIKE Titan; 20; 9; 13800; false; violet; 1239
SPEEDELEC E-Scooter; 10; 8600; false; 10200; black; 605
FOLDING BIKE Flex; 26; 1; 13400; true; white; 595
SPEEDELEC Segway; 50; 17900; true; 5900; brown; 659
SPEEDELEC Aest; 45; 6900; false; 5500; brown; 1635
SPEEDELEC Booster; 40; 9900; true; 2400; black; 1635
FOLDING BIKE Benetti; 24; 9; 15100; false; dark gray; 519
SPEEDELEC Xiaomi; 20; 11700; false; 4700; white; 309
FOLDING BIKE VNV; 20; 9; 9700; false; grenadine; 1325
E-BIKE ION; 20; 22300; true; 28000; golden; 1179
SPEEDELEC Segway; 35; 14800; true; 3400; green; 319
SPEEDELEC Speedelec Minirider; 65; 7800; true; 9700; rose; 665
E-BIKE Porshe Design; 60; 28300; true; 30000; white; 2869
E-BIKE Porshe Design; 40; 20800; true; 18000; green; 1119
FOLDING BIKE Kross; 18; 21; 10200; false; blue; 1269
E-BIKE Mercedes; 65; 23800; true; 19000; blue; 3259
SPEEDELEC Speedelec Minirider; 50; 12600; false; 13700; grenadine; 739
E-BIKE Zaxboard; 55; 23300; false; 21000; coral; 1705
SPEEDELEC Maraton; 60; 13700; false; 3000; beige; 625
FOLDING BIKE Titan; 18; 9; 15000; true; blue; 385
SPEEDELEC Speedelec Minirider; 35; 7000; false; 10500; khaki; 265
E-BIKE Scott; 45; 25900; false; 21000; pink; 1759
SPEEDELEC AirWheel; 60; 16900; false; 14100; blue; 295
SPEEDELEC Freego; 25; 9900; false; 15100; marine; 765
E-BIKE Rover; 25; 25000; false; 8000; beige; 829
FOLDING BIKE Crosser; 20; 1; 13600; true; red; 469
SPEEDELEC ITrike; 65; 9900; false; 9000; rose; 205
SPEEDELEC OIO; 60; 14100; false; 9100; silver; 415
SPEEDELEC Ultron; 45; 21900; true; 2300; marine; 1459
SPEEDELEC Kugoo; 40; 20100; true; 8100; grenadine; 425
FOLDING BIKE Dahon; 16; 18; 11400; true; beige; 709
SPEEDELEC ITrike; 50; 17200; true; 5200; violet; 1355
E-BIKE Porshe Design; 20; 27700; false; 20000; grenadine; 1309
E-BIKE Koga; 30; 21200; false; 25000; beige; 1019
SPEEDELEC Booster; 10; 21400; false; 9700; brown; 1019
FOLDING BIKE Trinx; 24; 3; 13900; true; beige; 1115
SPEEDELEC OIO; 40; 9900; true; 6100; violet; 535
FOLDING BIKE Stern; 24; 3; 13400; true; beige; 1209
E-BIKE ElectrO; 20; 19800; false; 21000; beige; 1875
FOLDING BIKE Comanche; 26; 1; 9900; true; grey; 199
E-BIKE Haibike; 25; 24300; true; 25000; beige; 1975
FOLDING BIKE Polygon; 20; 8; 14100; true; grey; 309
SPEEDELEC Tesla; 50; 20000; false; 2900; khaki; 325
SPEEDELEC E-Scooter; 60; 8300; false; 13100; silver; 345
SPEEDELEC Xiaomi; 60; 17000; true; 12300; violet; 1209
E-BIKE Gazelle; 55; 25300; true; 13000; beige; 1569
FOLDING BIKE Author; 26; 24; 10200; true; black; 1599
E-BIKE Haibike; 40; 25100; false; 13000; beige; 2445
E-BIKE Rover; 25; 23300; true; 26000; olive; 679
E-BIKE SkyBike; 45; 27900; false; 30000; violet; 2125
SPEEDELEC Aest; 20; 11700; true; 12800; emerald; 365
SPEEDELEC ITrike; 60; 16300; false; 3800; white; 1549
FOLDING BIKE Comanche; 20; 1; 11600; true; pink; 279
E-BIKE Zaxboard; 25; 23500; false; 26000; beige; 2785
FOLDING BIKE Crosser; 16; 7; 12200; false; pink; 695
E-BIKE Felt; 55; 22700; true; 29000; white; 2835
FOLDING BIKE Kross; 24; 6; 11600; false; yellow; 759
SPEEDELEC AirWheel; 45; 7000; true; 13000; golden; 299
SPEEDELEC ITrike; 55; 13300; true; 10300; khaki; 1019
FOLDING BIKE Kross; 20; 8; 11500; false; green; 345
SPEEDELEC EcoRide; 45; 10900; true; 13600; pink; 355
FOLDING BIKE Kross; 20; 8; 14800; false; yellow; 1675
FOLDING BIKE Titan; 26; 27; 16900; false; grey; 1299
SPEEDELEC Maraton; 40; 18900; false; 6800; pink; 869
SPEEDELEC OIO; 20; 13800; true; 5600; emerald; 135
FOLDING BIKE Polygon; 20; 1; 10700; true; emerald; 1355
E-BIKE Mercedes; 50; 23600; true; 15000; emerald; 1505
E-BIKE Ecofect; 45; 26900; true; 14000; dark gray; 1575
SPEEDELEC Tesla; 35; 18700; true; 2000; beige; 489
E-BIKE Felt; 50; 28900; true; 25000; olive; 2599
FOLDING BIKE Formula; 18; 9; 10100; false; coral; 1625
FOLDING BIKE Formula; 24; 7; 9600; true; grey; 385
E-BIKE Felt; 45; 20900; false; 18000; grenadine; 1765
E-BIKE Haibike; 40; 23800; false; 30000; pink; 1455
SPEEDELEC Maraton; 30; 18700; false; 2200; golden; 415
E-BIKE Farad; 35; 21900; false; 11000; coral; 3419
FOLDING BIKE Make Bike; 20; 24; 14000; false; silver; 1219
SPEEDELEC AirWheel; 20; 14500; true; 11600; orange; 499
FOLDING BIKE Dahon; 20; 27; 15900; true; rose; 1589
E-BIKE Felt; 25; 25200; false; 30000; white; 669
SPEEDELEC Speedway; 35; 19200; true; 10400; brown; 1019
FOLDING BIKE SkyBike; 24; 21; 11900; true; pink; 1029
SPEEDELEC AirWheel; 30; 19600; false; 11500; grenadine; 1555
FOLDING BIKE Trinx; 18; 8; 13500; true; white; 1465
SPEEDELEC Freego; 45; 20700; false; 12000; silver; 1445
FOLDING BIKE West Bike; 16; 21; 14000; true; rose; 1305
E-BIKE GoCycle; 45; 22700; false; 23000; grey; 2429
SPEEDELEC Aest; 50; 19500; false; 6300; red; 1385
FOLDING BIKE Cayman; 20; 1; 12700; true; flame; 1299
FOLDING BIKE Trinx; 26; 7; 13400; true; grenadine; 1675
E-BIKE ION; 25; 22600; true; 22000; grenadine; 2995
SPEEDELEC OIO; 60; 21400; false; 6700; golden; 1455
FOLDING BIKE Titan; 26; 3; 13500; false; pink; 1685
SPEEDELEC Dualtron; 35; 18600; true; 4700; grey; 489
FOLDING BIKE Cayman; 20; 9; 14000; true; silver; 1499
E-BIKE Mando Footloose; 55; 23200; true; 29000; golden; 2215
FOLDING BIKE Crosser; 20; 3; 9700; true; brown; 1105
SPEEDELEC E-Scooter; 25; 16400; false; 7800; rose; 235
SPEEDELEC E-Scooter; 20; 13500; false; 7500; flame; 435
SPEEDELEC Speedelec Minirider; 30; 8200; true; 15000; grenadine; 775
E-BIKE SkyBike; 50; 25800; true; 11000; beige; 3265
E-BIKE Ecofect; 35; 24500; true; 19000; grenadine; 2865
FOLDING BIKE Kross; 20; 18; 13300; true; golden; 1445
SPEEDELEC Speedway; 15; 21900; false; 6600; marine; 1475
FOLDING BIKE Polygon; 20; 6; 9400; true; black; 975
FOLDING BIKE Crosser; 24; 18; 9700; true; black; 365
SPEEDELEC Ultron; 45; 16900; false; 13500; emerald; 1625
SPEEDELEC Tesla; 20; 9100; true; 3900; violet; 1599
FOLDING BIKE Author; 18; 24; 13900; false; brown; 1229
SPEEDELEC Maraton; 50; 14600; true; 8900; emerald; 1005
SPEEDELEC Speedway; 20; 6500; false; 4800; orange; 365
E-BIKE Koga; 55; 26000; true; 11000; beige; 905
FOLDING BIKE Cayman; 18; 3; 12700; true; marine; 1089
FOLDING BIKE Polygon; 16; 3; 10200; true; coral; 845
E-BIKE ElectrO; 50; 20300; false; 29000; grey; 1839
FOLDING BIKE Crosser; 20; 1; 11400; true; grey; 1459
FOLDING BIKE Brompton; 18; 9; 11900; false; yellow; 845
E-BIKE Ecofect; 25; 23900; true; 18000; blue; 925
SPEEDELEC Ultron; 65; 8200; true; 3700; coral; 435
FOLDING BIKE Stern; 26; 27; 10000; true; green; 355
FOLDING BIKE BMW; 16; 8; 16800; false; grey; 1165
SPEEDELEC Tesla; 25; 7800; false; 9500; beige; 1365
SPEEDELEC Aest; 45; 13600; false; 4100; khaki; 519
E-BIKE Zaxboard; 50; 22100; true; 20000; beige; 1609
E-BIKE GoCycle; 35; 19100; false; 20000; golden; 3329
E-BIKE Felt; 30; 21500; false; 27000; lemon; 1265
SPEEDELEC Dualtron; 30; 13900; false; 12800; khaki; 1595
FOLDING BIKE Comanche; 20; 27; 14500; false; silver; 1655
E-BIKE Gazelle; 50; 21400; true; 30000; green; 1889
SPEEDELEC Xiaomi; 15; 9000; true; 5800; blue; 1255
E-BIKE ION; 30; 19100; false; 8000; yellow; 1705
SPEEDELEC E-Scooter; 15; 21000; false; 6600; beige; 1129
E-BIKE Gazelle; 25; 25300; false; 19000; silver; 1029
FOLDING BIKE Brompton; 16; 27; 8300; false; grey; 195
E-BIKE Porshe Design; 60; 28300; true; 27000; grey; 1005
SPEEDELEC AirWheel; 10; 7000; false; 2600; blue; 1145
SPEEDELEC Booster; 15; 6500; false; 3200; green; 699
E-BIKE SkyBike; 35; 26100; false; 17000; yellow; 3139
FOLDING BIKE Stern; 14; 8; 9600; true; violet; 1539
FOLDING BIKE Formula; 26; 9; 9300; false; orange; 915
SPEEDELEC E-Scooter; 15; 11900; true; 14500; silver; 439
FOLDING BIKE Kross; 20; 24; 8500; false; brown; 1545
E-BIKE ElectrO; 45; 24100; false; 23000; silver; 919
SPEEDELEC Freego; 25; 13900; true; 3800; marine; 849
E-BIKE Koga; 45; 23400; false; 14000; olive; 3189
SPEEDELEC Kugoo; 65; 20700; false; 5400; emerald; 1235
E-BIKE Lankeleisi; 40; 26700; false; 28000; blue; 2865
E-BIKE ION; 60; 23100; false; 10000; green; 2005
FOLDING BIKE Flex; 16; 8; 14900; true; violet; 365
E-BIKE Koga; 45; 27500; true; 11000; golden; 3385
FOLDING BIKE Stern; 18; 24; 9000; true; emerald; 495
E-BIKE Koga; 25; 27400; false; 20000; orange; 3345
E-BIKE Haibike; 55; 26300; false; 18000; red; 1805
SPEEDELEC Peugeot; 35; 10300; false; 9200; blue; 225
FOLDING BIKE VNV; 14; 3; 12400; true; khaki; 1169
SPEEDELEC Ultron; 55; 19800; true; 14400; emerald; 1479
FOLDING BIKE Author; 18; 9; 11600; false; coral; 1605
SPEEDELEC Speedelec Minirider; 35; 21900; false; 13400; dark gray; 859
E-BIKE Scott; 55; 24400; false; 13000; golden; 2719
FOLDING BIKE Titan; 20; 1; 11800; true; rose; 225
FOLDING BIKE Comanche; 24; 8; 12800; true; white; 789
SPEEDELEC Aest; 30; 11600; true; 8500; coral; 805
E-BIKE GoCycle; 40; 20300; true; 25000; orange; 3269
E-BIKE Xiaomi; 25; 27600; true; 21000; green; 2229
FOLDING BIKE Crosser; 14; 27; 15100; true; silver; 1659
FOLDING BIKE Cayman; 24; 27; 14000; false; rose; 665
FOLDING BIKE Author; 20; 7; 8800; true; beige; 449
SPEEDELEC EcoRide; 60; 19400; true; 5100; khaki; 715
E-BIKE Xiaomi; 45; 27400; true; 16000; silver; 1239
SPEEDELEC Peugeot; 60; 21100; true; 15800; lemon; 199
SPEEDELEC Smart; 35; 20300; false; 14500; khaki; 885
FOLDING BIKE Dahon; 14; 27; 9700; true; white; 1215
SPEEDELEC Ultron; 60; 10400; false; 7000; emerald; 489
FOLDING BIKE VNV; 20; 3; 10400; true; silver; 445
SPEEDELEC EcoRide; 20; 21500; true; 11900; marine; 1375
FOLDING BIKE VNV; 26; 8; 14900; false; marine; 825
FOLDING BIKE VNV; 20; 18; 8500; false; green; 339
SPEEDELEC Tesla; 10; 13400; false; 11300; orange; 1115
FOLDING BIKE Flex; 26; 9; 12900; true; marine; 349
FOLDING BIKE Author; 24; 18; 15300; true; red; 1079
SPEEDELEC Aest; 65; 14200; true; 14200; grey; 1479
SPEEDELEC Booster; 55; 11700; false; 6000; marine; 1299
FOLDING BIKE Titan; 20; 8; 10200; false; pink; 185
SPEEDELEC Tesla; 50; 19500; false; 6000; emerald; 1395
FOLDING BIKE Make Bike; 20; 7; 8800; true; khaki; 799
SPEEDELEC Xiaomi; 35; 21600; true; 8300; black; 1565
FOLDING BIKE Titan; 24; 18; 12200; false; grenadine; 1509
SPEEDELEC Freego; 45; 10400; false; 2900; green; 985
E-BIKE Farad; 30; 19200; false; 10000; brown; 1955
SPEEDELEC Kugoo; 60; 17700; false; 9900; coral; 1175
FOLDING BIKE Titan; 20; 7; 10300; false; yellow; 1425
FOLDING BIKE Polygon; 20; 3; 9000; false; coral; 795
SPEEDELEC Booster; 50; 19600; false; 9100; olive; 779
SPEEDELEC EcoRide; 60; 20000; true; 2000; green; 699
SPEEDELEC Kugoo; 10; 14300; true; 3300; olive; 1515
E-BIKE Rover; 45; 24900; true; 12000; brown; 2665
E-BIKE Gazelle; 60; 19600; false; 12000; yellow; 835
SPEEDELEC Booster; 30; 8300; false; 4000; orange; 835
FOLDING BIKE SkyBike; 24; 21; 15700; false; grenadine; 295
FOLDING BIKE Polygon; 26; 9; 12800; false; yellow; 1575
SPEEDELEC Segway; 30; 20600; true; 9000; dark gray; 429
E-BIKE Zaxboard; 45; 20300; false; 25000; green; 3059
SPEEDELEC Xiaomi; 65; 20900; true; 3400; beige; 1139
SPEEDELEC Dualtron; 15; 10600; true; 3400; white; 439
FOLDING BIKE Author; 24; 7; 11000; true; grenadine; 249
E-BIKE Rover; 40; 19300; true; 26000; blue; 2295
E-BIKE Farad; 60; 28300; true; 12000; khaki; 2345
FOLDING BIKE Polygon; 24; 1; 9100; false; flame; 449
SPEEDELEC Speedelec Minirider; 45; 10000; false; 6600; white; 1599
SPEEDELEC ITrike; 45; 13200; false; 2100; green; 715
SPEEDELEC Tesla; 40; 13900; true; 14400; coral; 725
E-BIKE Scott; 25; 20200; true; 24000; khaki; 2895
FOLDING BIKE Benetti; 26; 6; 15000; true; silver; 1315
SPEEDELEC Booster; 55; 7600; false; 8300; olive; 1339
SPEEDELEC Segway; 10; 10300; true; 6700; golden; 1055
FOLDING BIKE Comanche; 24; 18; 8400; true; golden; 599
SPEEDELEC Maraton; 65; 21700; false; 8700; emerald; 1445
FOLDING BIKE Comanche; 20; 6; 15100; true; pink; 1259
FOLDING BIKE VNV; 20; 1; 10700; true; white; 1275
FOLDING BIKE Titan; 14; 9; 10400; true; golden; 1375
FOLDING BIKE Trinx; 24; 8; 16100; false; dark gray; 505
E-BIKE Scott; 40; 19100; false; 27000; marine; 969
E-BIKE Porshe Design; 45; 28900; true; 29000; khaki; 1399
SPEEDELEC Xiaomi; 15; 6600; true; 15900; yellow; 1515
SPEEDELEC Freego; 35; 20100; false; 2100; olive; 295
FOLDING BIKE Trinx; 20; 6; 11000; true; blue; 1209
SPEEDELEC EcoRide; 60; 19100; true; 2800; olive; 879
E-BIKE ION; 50; 25600; false; 24000; blue; 1835
E-BIKE SkyBike; 20; 23700; true; 22000; golden; 2645
SPEEDELEC Maraton; 60; 7800; false; 14900; flame; 1239
FOLDING BIKE Trinx; 14; 6; 10400; true; dark gray; 1535
SPEEDELEC Xiaomi; 45; 21100; true; 2200; white; 625
E-BIKE Zaxboard; 65; 25900; true; 9000; rose; 2945
E-BIKE SkyBike; 45; 22100; false; 13000; silver; 1039
FOLDING BIKE Flex; 18; 27; 12400; true; yellow; 829
SPEEDELEC Kugoo; 20; 9000; false; 9900; black; 1225
E-BIKE GoCycle; 60; 23700; true; 18000; orange; 1219
E-BIKE ElectrO; 65; 20500; true; 13000; yellow; 1849
SPEEDELEC Speedelec Minirider; 65; 14100; false; 8000; pink; 1375
E-BIKE Farad; 45; 26200; true; 14000; black; 2875
FOLDING BIKE Comanche; 16; 7; 10700; false; pink; 359
FOLDING BIKE Cayman; 18; 8; 13200; false; pink; 715
FOLDING BIKE SkyBike; 20; 3; 12900; false; grenadine; 775
E-BIKE Ecofect; 40; 23900; false; 14000; olive; 2839
SPEEDELEC Xiaomi; 10; 17400; false; 3000; black; 295
FOLDING BIKE Brompton; 20; 18; 9700; false; golden; 815
SPEEDELEC Speedelec Minirider; 30; 14400; false; 7800; rose; 1445
FOLDING BIKE West Bike; 24; 6; 15200; false; grey; 1119
FOLDING BIKE BMW; 16; 6; 12500; true; marine; 1559
E-BIKE Farad; 35; 25900; false; 24000; lemon; 2679
SPEEDELEC EcoRide; 15; 12300; false; 6200; rose; 1565
SPEEDELEC AirWheel; 20; 6500; true; 2100; flame; 199
SPEEDELEC AirWheel; 20; 13900; true; 14700; golden; 549
FOLDING BIKE Trinx; 20; 1; 10700; true; green; 1599
E-BIKE Gazelle; 65; 20500; false; 21000; black; 1175
FOLDING BIKE Dahon; 14; 3; 8100; true; marine; 349
SPEEDELEC Kugoo; 60; 9000; false; 6400; orange; 1639
E-BIKE Scott; 60; 19000; false; 23000; beige; 1475
SPEEDELEC Tesla; 65; 18500; true; 9200; green; 319
FOLDING BIKE BMW; 20; 1; 16800; true; grenadine; 625
FOLDING BIKE Titan; 24; 24; 10800; false; lemon; 1485
E-BIKE Rover; 50; 22600; true; 9000; black; 2369
E-BIKE Haibike; 45; 27600; false; 17000; flame; 809
E-BIKE SkyBike; 20; 25600; true; 22000; white; 3329
E-BIKE E-Motion; 35; 21300; false; 29000; violet; 1799
FOLDING BIKE Make Bike; 16; 18; 9200; true; brown; 385
FOLDING BIKE Trinx; 14; 3; 9100; false; coral; 679
SPEEDELEC ITrike; 25; 14500; true; 2800; white; 915
FOLDING BIKE Make Bike; 20; 7; 12300; false; orange; 959
FOLDING BIKE Trinx; 14; 18; 12100; false; black; 435
E-BIKE Haibike; 45; 24200; false; 16000; khaki; 2765
SPEEDELEC Speedway; 25; 13800; false; 8000; silver; 1555
FOLDING BIKE Dahon; 18; 27; 11800; false; brown; 839
FOLDING BIKE Cayman; 20; 21; 15100; true; pink; 1479
E-BIKE ION; 40; 28200; false; 11000; brown; 1695
FOLDING BIKE Intertool; 20; 7; 11200; true; coral; 1129
SPEEDELEC Peugeot; 25; 19000; true; 9100; brown; 975
E-BIKE Rover; 30; 19200; false; 21000; rose; 2065
FOLDING BIKE Cayman; 26; 6; 11800; true; black; 1259
FOLDING BIKE Make Bike; 16; 7; 9800; false; green; 395
SPEEDELEC AirWheel; 30; 6900; false; 14400; marine; 1669
E-BIKE Mando Footloose; 25; 20300; false; 14000; white; 2565
E-BIKE ElectrO; 30; 20600; false; 31000; red; 2899
SPEEDELEC Xiaomi; 45; 19900; true; 12800; silver; 575
FOLDING BIKE Brompton; 20; 7; 15300; false; khaki; 299
E-BIKE Lankeleisi; 65; 25900; true; 15000; flame; 1315
E-BIKE Gazelle; 20; 25600; false; 8000; marine; 1405
FOLDING BIKE Comanche; 16; 1; 15600; true; dark gray; 619
FOLDING BIKE Polygon; 20; 3; 16600; true; marine; 1419
E-BIKE GoCycle; 35; 25700; true; 24000; brown; 2605
SPEEDELEC Peugeot; 20; 14300; false; 7800; violet; 925
SPEEDELEC Aest; 20; 19900; false; 2600; emerald; 1279
E-BIKE ION; 35; 25100; true; 12000; marine; 1059
FOLDING BIKE Benetti; 24; 1; 16100; true; violet; 329
FOLDING BIKE Make Bike; 20; 24; 8400; true; marine; 1365
E-BIKE Scott; 45; 28100; true; 15000; rose; 2365
SPEEDELEC OIO; 25; 16400; true; 7700; khaki; 1469
E-BIKE Ecofect; 35; 24400; false; 28000; brown; 1789
E-BIKE Felt; 55; 24200; false; 15000; yellow; 965
FOLDING BIKE Intertool; 24; 24; 9100; false; orange; 629
FOLDING BIKE Author; 18; 8; 9000; false; grey; 925
E-BIKE Scott; 65; 20400; false; 24000; orange; 3209
E-BIKE Ecofect; 40; 21500; false; 26000; black; 2185
FOLDING BIKE Cayman; 20; 1; 13600; true; golden; 1045
SPEEDELEC Tesla; 65; 8300; false; 5100; grey; 475
FOLDING BIKE Cayman; 26; 7; 13100; false; emerald; 269
FOLDING BIKE Formula; 26; 6; 10400; false; flame; 825
FOLDING BIKE Dahon; 26; 6; 16800; false; yellow; 229
FOLDING BIKE Formula; 20; 6; 8800; false; grey; 729
E-BIKE ElectrO; 40; 26700; false; 17000; grenadine; 2729
SPEEDELEC Kugoo; 25; 13600; true; 10800; dark gray; 1125
SPEEDELEC Tesla; 25; 18800; true; 12800; blue; 1019
FOLDING BIKE BMW; 14; 1; 13800; true; orange; 1655
SPEEDELEC OIO; 45; 16900; false; 4700; violet; 945
FOLDING BIKE Benetti; 24; 3; 9700; true; white; 1349
E-BIKE Mercedes; 25; 26000; false; 30000; orange; 3445
SPEEDELEC Kugoo; 30; 9300; false; 7900; dark gray; 559
SPEEDELEC Speedway; 65; 15900; false; 2100; flame; 1135
SPEEDELEC Segway; 40; 6700; false; 9900; pink; 969
FOLDING BIKE Crosser; 18; 8; 8700; true; olive; 1575
SPEEDELEC Kugoo; 15; 21800; true; 4100; grey; 805
FOLDING BIKE Kross; 20; 1; 12700; false; grey; 865
FOLDING BIKE Crosser; 20; 7; 9700; false; black; 609
E-BIKE Scott; 45; 28900; true; 30000; yellow; 1185
FOLDING BIKE West Bike; 26; 24; 13300; true; brown; 185
E-BIKE Ecofect; 60; 21100; false; 21000; flame; 2149
E-BIKE Gazelle; 35; 26100; false; 14000; marine; 2515
E-BIKE Mando Footloose; 65; 27700; true; 20000; beige; 1849
FOLDING BIKE Crosser; 20; 9; 12100; false; grey; 1529
E-BIKE Zaxboard; 30; 23700; true; 26000; lemon; 2889
SPEEDELEC E-Scooter; 55; 16500; true; 7200; marine; 659
FOLDING BIKE Kross; 24; 24; 8500; true; olive; 579
E-BIKE Farad; 65; 28400; true; 14000; olive; 1149
FOLDING BIKE BMW; 18; 9; 10300; false; rose; 1065
E-BIKE Lankeleisi; 50; 27800; true; 26000; orange; 705
E-BIKE ION; 35; 21700; true; 10000; golden; 2635
E-BIKE ION; 50; 22100; false; 29000; brown; 945
SPEEDELEC Kugoo; 50; 16200; true; 10500; silver; 599
SPEEDELEC Maraton; 55; 8500; true; 2300; pink; 1389
SPEEDELEC Speedway; 60; 9900; true; 6100; marine; 445
E-BIKE Mercedes; 60; 20400; false; 24000; grey; 3105
E-BIKE Mercedes; 65; 27800; false; 12000; violet; 3015
SPEEDELEC E-Scooter; 10; 16800; true; 3700; brown; 849
FOLDING BIKE Author; 20; 27; 9200; false; red; 1135
SPEEDELEC Xiaomi; 15; 6700; false; 11300; emerald; 1225
FOLDING BIKE Make Bike; 20; 18; 10500; true; lemon; 869
FOLDING BIKE Titan; 20; 18; 15600; true; green; 665
SPEEDELEC Tesla; 55; 20800; false; 14500; grenadine; 885
SPEEDELEC Segway; 55; 16300; false; 6000; brown; 1389
FOLDING BIKE Intertool; 20; 24; 10900; false; pink; 729
SPEEDELEC Peugeot; 50; 10200; true; 10600; orange; 1195
SPEEDELEC E-Scooter; 65; 6600; false; 9700; golden; 1435
FOLDING BIKE Comanche; 20; 21; 13300; true; dark gray; 405
E-BIKE Porshe Design; 30; 28300; false; 31000; flame; 689
E-BIKE Xiaomi; 40; 22900; true; 9000; dark gray; 1465
E-BIKE Haibike; 30; 22600; false; 21000; grenadine; 1405
SPEEDELEC Speedelec Minirider; 60; 14500; true; 12400; marine; 1475
FOLDING BIKE Intertool; 20; 6; 15300; true; rose; 655
SPEEDELEC Freego; 10; 12900; true; 9400; flame; 759
SPEEDELEC AirWheel; 65; 6900; false; 6300; green; 1615
FOLDING BIKE West Bike; 24; 27; 12300; true; black; 1065
E-BIKE Felt; 35; 24900; false; 22000; grenadine; 1465
SPEEDELEC Smart; 55; 15500; false; 5900; grey; 315
FOLDING BIKE Comanche; 20; 6; 16600; true; red; 1535
FOLDING BIKE Titan; 16; 18; 14600; true; black; 1085
E-BIKE Zaxboard; 65; 28700; true; 11000; silver; 2975
SPEEDELEC Speedelec Minirider; 35; 7200; false; 7200; white; 1665
E-BIKE Koga; 50; 19500; true; 12000; flame; 1725
FOLDING BIKE Cayman; 24; 1; 8900; false; rose; 1615
FOLDING BIKE Crosser; 20; 7; 8300; false; olive; 945
SPEEDELEC AirWheel; 65; 15700; false; 10500; blue; 585
FOLDING BIKE West Bike; 20; 6; 16300; false; beige; 1025
FOLDING BIKE VNV; 20; 8; 14000; true; golden; 939
FOLDING BIKE Comanche; 18; 24; 13700; false; marine; 755
SPEEDELEC Kugoo; 40; 13600; false; 12000; yellow; 1315
E-BIKE ION; 35; 22400; false; 17000; khaki; 1005
E-BIKE Rover; 50; 25200; false; 24000; coral; 2255
FOLDING BIKE Titan; 14; 27; 11900; false; coral; 1559
SPEEDELEC Peugeot; 30; 14000; true; 12300; golden; 1175
E-BIKE Farad; 35; 19700; false; 11000; brown; 3435
E-BIKE E-Motion; 65; 25900; true; 13000; green; 2919
E-BIKE Koga; 60; 21200; false; 15000; brown; 1135
SPEEDELEC Freego; 50; 10600; false; 2300; brown; 125
E-BIKE ElectrO; 55; 22700; false; 26000; flame; 805
FOLDING BIKE BMW; 20; 18; 11500; true; green; 469
E-BIKE E-Motion; 40; 26500; false; 14000; golden; 1715
FOLDING BIKE Comanche; 20; 7; 14900; false; white; 1369
E-BIKE Haibike; 30; 24200; true; 19000; pink; 849
FOLDING BIKE West Bike; 20; 18; 11100; true; rose; 1305
E-BIKE Rover; 40; 25600; true; 20000; red; 1489
FOLDING BIKE VNV; 24; 8; 9700; false; coral; 1459
SPEEDELEC ITrike; 40; 19900; false; 11600; violet; 1285
FOLDING BIKE Formula; 18; 21; 10900; false; green; 1419
E-BIKE Scott; 50; 21600; true; 25000; yellow; 739
E-BIKE Mando Footloose; 50; 19200; true; 28000; yellow; 1385
SPEEDELEC Xiaomi; 35; 18100; false; 10300; violet; 1499
E-BIKE ElectrO; 55; 22400; false; 16000; red; 2109
SPEEDELEC Segway; 55; 11900; false; 2000; marine; 339
E-BIKE Xiaomi; 25; 22600; false; 14000; flame; 1735
FOLDING BIKE Flex; 24; 1; 11000; false; dark gray; 389
E-BIKE Porshe Design; 30; 28700; true; 31000; golden; 1619
FOLDING BIKE Author; 18; 24; 10300; false; green; 1015
E-BIKE Mando Footloose; 20; 23300; true; 17000; violet; 1339
E-BIKE ION; 45; 24600; true; 30000; pink; 1595
E-BIKE Rover; 65; 24700; true; 27000; green; 2779
SPEEDELEC Maraton; 25; 9000; true; 9000; dark gray; 1565
E-BIKE Ferrari; 35; 25600; true; 10000; grenadine; 1555
E-BIKE GoCycle; 65; 26900; false; 12000; beige; 1945
FOLDING BIKE Dahon; 20; 1; 8200; true; green; 1435
E-BIKE GoCycle; 40; 24000; true; 15000; grenadine; 1005
SPEEDELEC Segway; 40; 11200; true; 11400; brown; 209
E-BIKE SkyBike; 35; 26800; true; 25000; grey; 899
E-BIKE Ecofect; 35; 23500; false; 13000; golden; 3389
SPEEDELEC Xiaomi; 40; 9300; false; 14700; coral; 609
SPEEDELEC OIO; 65; 12600; false; 8800; coral; 199
SPEEDELEC Kugoo; 10; 8100; false; 9900; grey; 1299
SPEEDELEC Freego; 25; 18300; true; 7100; flame; 1059
E-BIKE Lankeleisi; 60; 24400; false; 13000; white; 3095
SPEEDELEC OIO; 55; 9000; true; 9500; black; 199
E-BIKE Scott; 55; 23200; false; 11000; violet; 1625
E-BIKE Mando Footloose; 65; 19900; false; 8000; coral; 1949
SPEEDELEC Kugoo; 25; 15100; false; 11300; black; 1429
